epoch,train_loss_all,val_loss_all,train_acc_all,val_acc_all
352,0.13111609891057013,0.1167513182759285,0.98515625,0.98875
353,0.1352879399061203,0.11475192129611969,0.98578125,0.98875
354,0.12790438741445542,0.11399462997913361,0.98703125,0.98875
355,0.12831197515130044,0.11411818534135819,0.9878125,0.98875
356,0.12938106551766396,0.11243709117174149,0.9865625,0.98875
357,0.1294678981602192,0.11457031995058059,0.98625,0.989375
358,0.131923848092556,0.11439045578241348,0.9859375,0.988125
359,0.12817407712340356,0.11348003536462783,0.98640625,0.988125
360,0.1284246039390564,0.11285549730062484,0.98609375,0.988125
361,0.12860285237431526,0.11197962522506714,0.9859375,0.98875
362,0.13062997356057168,0.11406752228736877,0.9846875,0.988125
363,0.12888669833540917,0.1149128419160843,0.9865625,0.988125
364,0.1273506197333336,0.11495704978704452,0.98578125,0.988125
365,0.13132392078638078,0.14253775656223297,0.985,0.975625
366,0.13125355780124665,0.11094229251146316,0.98375,0.988125
367,0.1282936479151249,0.13231675416231156,0.98609375,0.978125
368,0.12335183694958687,0.10932787775993347,0.9871875,0.989375
369,0.1258169062435627,0.1175958439707756,0.98640625,0.9875
370,0.1292600691318512,0.11107450485229492,0.98515625,0.988125
371,0.12229097217321395,0.11061124801635742,0.98671875,0.988125
372,0.12311432287096977,0.10827921122312546,0.98546875,0.98875
373,0.12546834990382194,0.1113812056183815,0.9859375,0.988125
374,0.1280085998773575,0.1467671275138855,0.9853125,0.970625
375,0.12452832266688346,0.11579709678888321,0.98625,0.986875
376,0.12420361503958702,0.10986902445554733,0.98609375,0.988125
377,0.12673636496067048,0.10837357103824616,0.9846875,0.988125
378,0.12161063984036445,0.10496803015470504,0.98703125,0.989375
379,0.1254812113940716,0.12428044259548188,0.98578125,0.9825
380,0.11964935138821602,0.10696816235780716,0.98640625,0.98875
381,0.12419101521372795,0.10844297081232071,0.98640625,0.989375
382,0.12060378924012184,0.10580047339200974,0.9859375,0.989375
383,0.11993374183773994,0.1318639612197876,0.98609375,0.978125
384,0.12471755132079125,0.11307991802692413,0.98359375,0.98625
385,0.12134046971797943,0.10628670871257782,0.986875,0.989375
386,0.12763433426618576,0.10801692128181457,0.9828125,0.989375
387,0.11922798082232475,0.10551555454730988,0.986875,0.989375
388,0.11983774423599243,0.11304377883672714,0.98625,0.986875
389,0.12188667491078377,0.1046789515018463,0.983125,0.99
390,0.117762331366539,0.11451564341783524,0.9875,0.98375
391,0.1199301341176033,0.10608541369438171,0.98734375,0.98875
392,0.11730077803134918,0.10675200849771499,0.98578125,0.99
393,0.11797696948051453,0.11030464798212052,0.986875,0.986875
394,0.12209746837615967,0.12582672148942947,0.9853125,0.98125
395,0.11698335319757462,0.10497775852680206,0.98703125,0.989375
396,0.11972661569714546,0.11296576380729675,0.98546875,0.985625
397,0.11430832639336586,0.10446630388498307,0.98671875,0.99
398,0.11839683443307876,0.11861729085445404,0.98578125,0.984375
399,0.11958065122365952,0.10225077867507934,0.98484375,0.989375
